,_id,text,sentiment
0,64fb73d769e6e4ba894b77b8," I`d have responded, if I were going",neutral
1,64fb73d869e6e4ba894b77b9, Sooo SAD I will miss you here in San Diego!!!,negative
2,64fb73d869e6e4ba894b77ba,my boss is bullying me...,negative
3,64fb73d869e6e4ba894b77bb, what interview! leave me alone,negative
4,64fb73d869e6e4ba894b77bc," Sons of ****, why couldn`t they put them on the releases we already bought",negative
5,64fb73d869e6e4ba894b77bd,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
6,64fb73d869e6e4ba894b77be,2am feedings for the baby are fun when he is all smiles and coos,positive
7,64fb73d869e6e4ba894b77bf,Soooo high,neutral
8,64fb73d869e6e4ba894b77c0, Both of you,neutral
9,64fb73d869e6e4ba894b77c1, Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive
10,64fb73d869e6e4ba894b77c2," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral
11,64fb73d869e6e4ba894b77c3,I really really like the song Love Story by Taylor Swift,positive
12,64fb73d869e6e4ba894b77c4,My Sharpie is running DANGERously low on ink,negative
13,64fb73d869e6e4ba894b77c5,i want to go to music tonight but i lost my voice.,negative
14,64fb73d869e6e4ba894b77c6,test test from the LG enV2,neutral
15,64fb73d869e6e4ba894b77c7,"Uh oh, I am sunburned",negative
16,64fb73d869e6e4ba894b77c8," S`ok, trying to plot alternatives as we speak *sigh*",negative
17,64fb73d869e6e4ba894b77c9,"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative
18,64fb73d869e6e4ba894b77ca,is back home now      gonna miss every one,negative
19,64fb73d869e6e4ba894b77cb,Hes just not that into you,neutral
20,64fb73d869e6e4ba894b77cc," oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral
21,64fb73d869e6e4ba894b77cd,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
22,64fb73d869e6e4ba894b77ce,is cleaning the house for her family who is comming later today..,neutral
23,64fb73d869e6e4ba894b77cf,gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral
24,64fb73d869e6e4ba894b77d0,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
25,64fb73d869e6e4ba894b77d1,"the free fillin` app on my ipod is fun, im addicted",positive
26,64fb73d869e6e4ba894b77d2,  I`m sorry.,negative
27,64fb73d869e6e4ba894b77d3,On the way to Malaysia...no internet access to Twit,negative
28,64fb73d869e6e4ba894b77d4,juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive
29,64fb73d869e6e4ba894b77d5,Went to sleep and there is a power cut in Noida  Power back up not working too,negative
30,64fb73d869e6e4ba894b77d6,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
31,64fb73d869e6e4ba894b77d7,i hope unni will make the audition . fighting dahye unni !,positive
32,64fb73d869e6e4ba894b77d8, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
33,64fb73d869e6e4ba894b77d9, That`s very funny.  Cute kids.,positive
34,64fb73d869e6e4ba894b77da," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral
35,64fb73d869e6e4ba894b77db,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral
36,64fb73d869e6e4ba894b77dc,Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
37,64fb73d869e6e4ba894b77dd,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral
38,64fb73d869e6e4ba894b77de,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
39,64fb73d869e6e4ba894b77df,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive
40,64fb73d869e6e4ba894b77e0," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral
41,64fb73d869e6e4ba894b77e1,im an avid fan of **** magazine and i love your magazines,positive
42,64fb73d869e6e4ba894b77e2,MAYDAY?!,neutral
43,64fb73d869e6e4ba894b77e3,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral
44,64fb73d869e6e4ba894b77e4, I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive
45,64fb73d869e6e4ba894b77e5,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
46,64fb73d869e6e4ba894b77e6,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
47,64fb73d869e6e4ba894b77e7,:visiting my friendster and facebook,neutral
48,64fb73d869e6e4ba894b77e8,"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative
49,64fb73d869e6e4ba894b77e9, which case? I got a new one last week and I`m not thrilled at all with mine.,negative
50,64fb73d869e6e4ba894b77ea, Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral
51,64fb73d869e6e4ba894b77eb," also bored at school, its my third freelesson( freistunde )",neutral
52,64fb73d869e6e4ba894b77ec, hm... Both of us I guess...,neutral
53,64fb73d869e6e4ba894b77ed, it is ****...u have dissappointed me that past few days,negative
54,64fb73d869e6e4ba894b77ee, romance zero is funny,positive
55,64fb73d869e6e4ba894b77ef, I`d rather do the early run..but I am a morning runner,neutral
56,64fb73d869e6e4ba894b77f0,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
57,64fb73d869e6e4ba894b77f1,will be back later.  http://plurk.com/p/rp3k7,neutral
58,64fb73d869e6e4ba894b77f2,Aw. Torn ace of hearts  #Hunchback,negative
59,64fb73d869e6e4ba894b77f3, what fun are you speaking of?,neutral
60,64fb73d869e6e4ba894b77f4,"i lost all my friends, i`m alone and sleepy..i wanna go home",negative
61,64fb73d869e6e4ba894b77f5, haha yes,neutral
62,64fb73d869e6e4ba894b77f6,I give in to easily,negative
63,64fb73d869e6e4ba894b77f7,What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
64,64fb73d869e6e4ba894b77f8,mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
65,64fb73d869e6e4ba894b77f9,Is at a photoshoot.,neutral
66,64fb73d869e6e4ba894b77fa,  He`s awesome... Have you worked with him before? He`s a good friend.,positive
67,64fb73d869e6e4ba894b77fb,Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral
68,64fb73d869e6e4ba894b77fc,Chilliin,positive
69,64fb73d869e6e4ba894b77fd," If you know such agent, do let me know",neutral
70,64fb73d869e6e4ba894b77fe,I still smell of smoke  #kitchenfire,neutral
71,64fb73d869e6e4ba894b77ff, a celtics-lakers rematch sounds better don`t you think? lol,positive
72,64fb73d869e6e4ba894b7800,"Anyone have an extra Keane ticket? I promise to buy you a drink and take rad pics for your FB / Blog / Flickr., etc",neutral
73,64fb73d869e6e4ba894b7801,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral
74,64fb73d869e6e4ba894b7802, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
75,64fb73d869e6e4ba894b7803,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
76,64fb73d869e6e4ba894b7804,"WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.",negative
77,64fb73d869e6e4ba894b7805, My sources say no,neutral
78,64fb73d869e6e4ba894b7806,I am sooo tired,negative
79,64fb73d869e6e4ba894b7807," Hey, you change your twitter account, and you didn`t even tell me...",neutral
80,64fb73d869e6e4ba894b7808, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
